                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.863,                 4.0258,                 4.2505,                0.02427,                 0.1543,                0.02952,                0.01526,                 4.2714,                 3.8806,                 3.9085,                 0.0928,                 0.0008,                 0.0008
                      2,                  4.171,                 2.7838,                 3.5572,                0.00169,                0.23661,                0.00409,                0.00152,                 4.3689,                 3.1281,                 3.2804,               0.084683,              0.0016832,              0.0016832
                      3,                 3.7821,                 2.0774,                 2.8298,                0.00188,                0.25627,                0.00702,                0.00201,                 4.3254,                 3.3046,                 3.1853,               0.076549,              0.0025485,              0.0025485
                      4,                 3.1894,                 1.9587,                 2.5504,                0.00134,                0.12727,                0.00106,                0.00045,                 3.8015,                    inf,                 54.975,               0.068396,               0.003396,               0.003396
                      5,                 2.9219,                 1.9178,                 2.2936,                0.00169,                0.12727,                0.00145,                0.00069,                 4.1287,                    inf,                 602.14,               0.060226,              0.0042258,              0.0042258
                      6,                 2.7632,                 1.9318,                 2.2402,                0.50126,                0.12545,                0.00104,                0.00054,                    nan,                    nan,                    nan,               0.052038,              0.0050376,              0.0050376
                      7,                  2.708,                 1.8334,                 2.1752,                 0.0083,                0.18385,                0.00427,                0.00179,                 3.7372,                    inf,                  30.87,               0.043832,              0.0058317,              0.0058317
                      8,                 2.6837,                 1.9186,                 2.1249,                0.33614,                0.16471,                0.01637,                0.00662,                 3.8864,                    inf,                  10.81,               0.035608,               0.006608,               0.006608
                      9,                 2.5265,                 1.7867,                 2.0327,                0.17362,                0.15795,                0.02607,                0.00845,                 3.7387,                    inf,                 4.9059,               0.027366,              0.0073664,              0.0073664
                     10,                 2.4439,                 1.7761,                 2.0092,                0.13466,                0.04108,                0.01053,                0.00242,                 3.7125,                    inf,                 5.9276,               0.019107,               0.008107,               0.008107
                     11,                 2.4267,                 1.7713,                 1.9929,                0.11963,                0.20992,                0.05723,                 0.0207,                 3.6231,                  26.23,                 19.513,                0.01083,              0.0088298,              0.0088298
                     12,                 2.3519,                 1.7356,                 1.9475,                0.17802,                 0.2182,                0.06479,                0.02768,                  2.994,                 25.107,                 6.1762,               0.008911,               0.008911,               0.008911
                     13,                 2.3233,                 1.7408,                 1.9304,                0.25443,                0.17793,                0.11377,                0.04414,                 2.5054,                 12.862,                 3.0884,               0.008812,               0.008812,               0.008812
                     14,                 2.3759,                 1.7254,                 1.9558,                0.12089,                0.05902,                0.04015,                0.01521,                 3.0296,                 4.3503,                 3.5948,               0.008713,               0.008713,               0.008713
                     15,                 2.3139,                 1.7117,                 1.8855,                0.12208,                 0.0826,                0.03466,                0.01353,                 3.3592,                 8.8504,                 2.9794,               0.008614,               0.008614,               0.008614
                     16,                 2.3265,                  1.719,                 1.8846,                0.24494,                0.17827,                0.11357,                0.04269,                 2.7766,                 3.5549,                 2.3042,               0.008515,               0.008515,               0.008515
                     17,                 2.2287,                 1.6741,                 1.8247,                0.26404,                0.18782,                0.11616,                0.04455,                 2.6069,                 2.9343,                 2.2146,               0.008416,               0.008416,               0.008416
                     18,                  2.257,                 1.6896,                 1.8095,                0.34422,                0.20231,                0.15838,                0.06373,                 2.4431,                 3.3516,                 2.0868,               0.008317,               0.008317,               0.008317
                     19,                  2.359,                 1.7257,                  1.873,                0.19301,                0.22275,                0.12209,                 0.0426,                  2.518,                 3.5462,                 2.2166,               0.008218,               0.008218,               0.008218
                     20,                 2.2177,                 1.7102,                 1.8353,                0.27979,                0.25803,                0.16665,                0.06798,                 2.3622,                 3.0898,                 1.9615,               0.008119,               0.008119,               0.008119
                     21,                 2.1654,                 1.6191,                 1.8427,                0.37612,                0.25934,                0.23882,                0.10242,                 2.3172,                 2.2262,                 2.0837,                0.00802,                0.00802,                0.00802
                     22,                 2.1866,                 1.6198,                 1.8051,                0.28779,                0.33595,                0.24099,                0.09786,                 2.2742,                 2.6002,                 1.8854,               0.007921,               0.007921,               0.007921
                     23,                 2.0767,                 1.5827,                 1.7669,                0.32238,                 0.2944,                0.23594,                0.09947,                    2.2,                 2.2922,                 1.9131,               0.007822,               0.007822,               0.007822
                     24,                 2.1417,                 1.5993,                 1.7807,                0.29357,                0.35211,                0.23563,                0.10614,                 2.0449,                 1.9531,                 1.8183,               0.007723,               0.007723,               0.007723
                     25,                 2.1246,                 1.6064,                 1.7702,                0.30754,                0.30109,                0.25215,                0.10591,                 2.0726,                 2.1313,                 1.9146,               0.007624,               0.007624,               0.007624
                     26,                 2.0513,                 1.5732,                 1.7458,                0.42032,                0.32087,                0.28907,                0.12812,                 2.0152,                 2.0373,                 1.8237,               0.007525,               0.007525,               0.007525
                     27,                 2.1047,                 1.5732,                 1.7582,                0.33956,                0.38609,                0.26409,                0.11984,                 2.0195,                 1.8923,                 1.7713,               0.007426,               0.007426,               0.007426
                     28,                 2.1334,                 1.6088,                 1.7543,                0.43688,                0.35877,                0.32246,                0.15537,                 1.9839,                 1.6861,                 1.7741,               0.007327,               0.007327,               0.007327
                     29,                 2.0422,                 1.5551,                 1.7341,                0.43656,                0.32405,                0.32612,                0.15762,                 1.9876,                 1.7261,                 1.7449,               0.007228,               0.007228,               0.007228
                     30,                 2.0803,                  1.524,                 1.7141,                0.40192,                0.28485,                0.27233,                0.10647,                 2.3841,                 1.9197,                 1.8693,               0.007129,               0.007129,               0.007129
                     31,                 2.0206,                 1.4926,                 1.7116,                0.52596,                0.37276,                0.38852,                0.18389,                 1.9613,                 1.5986,                 1.7157,                0.00703,                0.00703,                0.00703
